day,organoid_id,true_label,prob_acceptable,pred,correct,confidence,focus,mask_frac,enrichment
3,BA1_96_1_B9_nosplit,Acceptable,0.5098,Acceptable,1,0.0098,0.0,0.0089,0.0
3,BA1_96_1_C10_nosplit,Acceptable,0.5228,Acceptable,1,0.0228,0.0,0.0083,0.0
3,BA1_96_1_F2_nosplit,Acceptable,0.5041,Acceptable,1,0.0041,0.0,0.0087,0.0
3,BA1_96_1_F4_nosplit,Acceptable,0.5074,Acceptable,1,0.0074,0.0,0.0081,0.0
3,BA1_96_1_G10_nosplit,Acceptable,0.5029,Acceptable,1,0.0029,0.0,0.0081,0.0
3,BA1_96_1_G3_nosplit,Acceptable,0.5136,Acceptable,1,0.0136,0.0,0.0086,0.0
3,BA1_96_1_H10_nosplit,Acceptable,0.5131,Acceptable,1,0.0131,0.0,0.0082,0.0
3,BA2_96_1_C10_nosplit,Acceptable,0.5295,Acceptable,1,0.0295,0.0,0.0098,0.0
3,BA2_96_1_C11_nosplit,Acceptable,0.5142,Acceptable,1,0.0142,0.0,0.0084,0.0
3,BA2_96_1_C8_nosplit,Acceptable,0.5231,Acceptable,1,0.0231,0.0,0.0099,0.0
3,BA2_96_1_D9_nosplit,Acceptable,0.5243,Acceptable,1,0.0243,0.0,0.0097,0.0
3,BA2_96_1_E12_nosplit,Not Acceptable,0.5296,Acceptable,0,0.0296,0.0006,0.0112,0.056
3,BA2_96_1_E3_nosplit,Not Acceptable,0.5286,Acceptable,0,0.0286,0.0,0.0096,0.002
3,BA2_96_1_E5_nosplit,Acceptable,0.533,Acceptable,1,0.033,0.0,0.0092,0.0
3,BA2_96_1_G7_nosplit,Acceptable,0.5281,Acceptable,1,0.0281,0.0,0.0118,0.0
3,BA2_96_1_H11_nosplit,Acceptable,0.5287,Acceptable,1,0.0287,0.0,0.0088,0.001
3,BA2_96_2_B10_nosplit,Acceptable,0.5353,Acceptable,1,0.0353,0.0,0.0091,0.0
3,BA2_96_2_C2_nosplit,Not Acceptable,0.5247,Acceptable,0,0.0247,0.0,0.0086,0.0
3,BA2_96_2_E8_nosplit,Acceptable,0.5232,Acceptable,1,0.0232,0.0,0.0084,0.0
