organoid_id,true_label,prob_acceptable,pred,correct,confidence,focus,mask_frac,enrichment
BA1_96_1_B9_nosplit,Acceptable,0.7655,Acceptable,1,0.2655,0.1082,0.0609,1.777
BA1_96_1_C10_nosplit,Acceptable,0.7185,Acceptable,1,0.2185,0.0115,0.0692,0.166
BA1_96_1_F2_nosplit,Acceptable,0.7268,Acceptable,1,0.2268,0.0205,0.0643,0.319
BA1_96_1_F4_nosplit,Acceptable,0.7349,Acceptable,1,0.2349,0.1025,0.059,1.738
BA1_96_1_G10_nosplit,Acceptable,0.6842,Acceptable,1,0.1842,0.038,0.0585,0.649
BA1_96_1_G3_nosplit,Acceptable,0.7992,Acceptable,1,0.2992,0.0102,0.0684,0.149
BA1_96_1_H10_nosplit,Acceptable,0.7332,Acceptable,1,0.2332,0.0297,0.0699,0.425
BA2_96_1_C10_nosplit,Acceptable,0.7237,Acceptable,1,0.2237,0.0519,0.0639,0.813
BA2_96_1_C11_nosplit,Acceptable,0.7835,Acceptable,1,0.2835,0.0735,0.123,0.597
BA2_96_1_C8_nosplit,Acceptable,0.8264,Acceptable,1,0.3264,0.074,0.0953,0.776
BA2_96_1_D9_nosplit,Acceptable,0.7532,Acceptable,1,0.2532,0.1113,0.0815,1.365
BA2_96_1_E12_nosplit,Not Acceptable,0.3452,Not Acceptable,1,0.1548,0.0,0.0434,0.0
BA2_96_1_E3_nosplit,Not Acceptable,0.4081,Not Acceptable,1,0.0919,0.0011,0.0292,0.039
BA2_96_1_E5_nosplit,Acceptable,0.7642,Acceptable,1,0.2642,0.0846,0.0915,0.925
BA2_96_1_G7_nosplit,Acceptable,0.7935,Acceptable,1,0.2935,0.0643,0.0729,0.882
BA2_96_1_H11_nosplit,Acceptable,0.7853,Acceptable,1,0.2853,0.0508,0.0954,0.533
BA2_96_2_B10_nosplit,Acceptable,0.7711,Acceptable,1,0.2711,0.1207,0.09,1.341
BA2_96_2_C2_nosplit,Not Acceptable,0.396,Not Acceptable,1,0.104,0.0,0.038,0.0
BA2_96_2_E8_nosplit,Acceptable,0.724,Acceptable,1,0.224,0.0639,0.0859,0.743
BA2_96_2_F11_nosplit,Acceptable,0.8014,Acceptable,1,0.3014,0.0826,0.0943,0.876
BA2_96_2_F12_nosplit,Not Acceptable,0.3417,Not Acceptable,1,0.1583,0.0,0.0288,0.0
BA2_96_2_G1_nosplit,Acceptable,0.7282,Acceptable,1,0.2282,0.0707,0.1016,0.696
BA2_96_2_G3_nosplit,Acceptable,0.7354,Acceptable,1,0.2354,0.1308,0.0851,1.536
BA2_96_2_G6_nosplit,Not Acceptable,0.6753,Acceptable,0,0.1753,0.0315,0.0583,0.54
BA2_96_2_G9_nosplit,Not Acceptable,0.5077,Acceptable,0,0.0077,0.0001,0.0296,0.002
BA2_96_2_H3_nosplit,Acceptable,0.7664,Acceptable,1,0.2664,0.04,0.0642,0.622
BA2_96_2_H8_nosplit,Acceptable,0.6885,Acceptable,1,0.1885,0.1339,0.1165,1.149
