day,organoid_id,true_label,prob_acceptable,pred,correct,confidence,focus,mask_frac,enrichment
3,BA1_96_1_B9_nosplit,Acceptable,0.5311,Acceptable,1,0.0311,0.0003,0.0089,0.029
3,BA1_96_1_C10_nosplit,Acceptable,0.5245,Acceptable,1,0.0245,0.0,0.0083,0.001
3,BA1_96_1_F2_nosplit,Acceptable,0.5257,Acceptable,1,0.0257,0.0005,0.0087,0.057
3,BA1_96_1_F4_nosplit,Acceptable,0.5228,Acceptable,1,0.0228,0.0,0.0081,0.0
3,BA1_96_1_G10_nosplit,Acceptable,0.5251,Acceptable,1,0.0251,0.0002,0.0081,0.022
3,BA1_96_1_G3_nosplit,Acceptable,0.531,Acceptable,1,0.031,0.0,0.0086,0.0
3,BA1_96_1_H10_nosplit,Acceptable,0.523,Acceptable,1,0.023,0.0002,0.0082,0.023
3,BA2_96_1_C10_nosplit,Acceptable,0.5623,Acceptable,1,0.0623,0.0094,0.0098,0.965
3,BA2_96_1_C11_nosplit,Acceptable,0.5424,Acceptable,1,0.0424,0.0004,0.0084,0.045
3,BA2_96_1_C8_nosplit,Acceptable,0.5437,Acceptable,1,0.0437,0.0,0.0099,0.0
3,BA2_96_1_D9_nosplit,Acceptable,0.5558,Acceptable,1,0.0558,0.0016,0.0097,0.168
3,BA2_96_1_E12_nosplit,Not Acceptable,0.5585,Acceptable,0,0.0585,0.0019,0.0112,0.167
3,BA2_96_1_E3_nosplit,Not Acceptable,0.5631,Acceptable,0,0.0631,0.0078,0.0096,0.816
3,BA2_96_1_E5_nosplit,Acceptable,0.5747,Acceptable,1,0.0747,0.0253,0.0092,2.744
3,BA2_96_1_G7_nosplit,Acceptable,0.5639,Acceptable,1,0.0639,0.0123,0.0118,1.044
3,BA2_96_1_H11_nosplit,Acceptable,0.5583,Acceptable,1,0.0583,0.006,0.0088,0.68
3,BA2_96_2_B10_nosplit,Acceptable,0.5564,Acceptable,1,0.0564,0.0007,0.0091,0.076
3,BA2_96_2_C2_nosplit,Not Acceptable,0.551,Acceptable,0,0.051,0.0,0.0086,0.0
3,BA2_96_2_E8_nosplit,Acceptable,0.5652,Acceptable,1,0.0652,0.0081,0.0084,0.968
3,BA2_96_2_F11_nosplit,Acceptable,0.5546,Acceptable,1,0.0546,0.0014,0.0074,0.186
3,BA2_96_2_F12_nosplit,Not Acceptable,0.5519,Acceptable,0,0.0519,0.009,0.0138,0.656
3,BA2_96_2_G1_nosplit,Acceptable,0.5572,Acceptable,1,0.0572,0.0002,0.0108,0.02
3,BA2_96_2_G3_nosplit,Acceptable,0.5388,Acceptable,1,0.0388,0.0,0.0086,0.0
3,BA2_96_2_G6_nosplit,Not Acceptable,0.5507,Acceptable,0,0.0507,0.0023,0.0094,0.246
3,BA2_96_2_G9_nosplit,Not Acceptable,0.5873,Acceptable,0,0.0873,0.0478,0.0099,4.854
3,BA2_96_2_H3_nosplit,Acceptable,0.5833,Acceptable,1,0.0833,0.0238,0.0093,2.554
3,BA2_96_2_H8_nosplit,Acceptable,0.5638,Acceptable,1,0.0638,0.0048,0.009,0.528
6,BA1_96_1_B9_nosplit,Acceptable,0.5499,Acceptable,1,0.0499,0.0281,0.0126,2.222
6,BA1_96_1_C10_nosplit,Acceptable,0.5355,Acceptable,1,0.0355,0.0054,0.0116,0.469
6,BA1_96_1_F2_nosplit,Acceptable,0.5289,Acceptable,1,0.0289,0.0218,0.0109,2.001
6,BA1_96_1_F4_nosplit,Acceptable,0.5461,Acceptable,1,0.0461,0.0323,0.0108,3.006
6,BA1_96_1_G10_nosplit,Acceptable,0.5401,Acceptable,1,0.0401,0.0197,0.0105,1.874
6,BA1_96_1_G3_nosplit,Acceptable,0.5631,Acceptable,1,0.0631,0.0154,0.012,1.289
