organoid_id,day,prob_full,prob_occluded,importance
BA1_96_1_B9_nosplit,3.0,0.4674,0.4717,0.0043
BA1_96_1_B9_nosplit,6.0,0.4674,0.4685,0.0011
BA1_96_1_B9_nosplit,8.0,0.4674,0.4791,0.0117
BA1_96_1_B9_nosplit,10.0,0.4674,0.497,0.0296
BA1_96_1_B9_nosplit,13.0,0.4674,0.496,0.0286
BA1_96_1_B9_nosplit,15.0,0.4674,0.4953,0.0278
BA1_96_1_B9_nosplit,17.0,0.4674,0.4817,0.0143
BA1_96_1_B9_nosplit,20.5,0.4674,0.4863,0.0189
BA1_96_1_B9_nosplit,24.0,0.4674,0.4517,0.0157
BA1_96_1_B9_nosplit,28.0,0.4674,0.4288,0.0386
BA1_96_1_B9_nosplit,30.0,0.4674,0.2122,0.2552
BA1_96_1_C10_nosplit,3.0,0.5316,0.5405,0.0089
BA1_96_1_C10_nosplit,6.0,0.5316,0.541,0.0094
BA1_96_1_C10_nosplit,8.0,0.5316,0.5416,0.01
BA1_96_1_C10_nosplit,10.0,0.5316,0.5542,0.0226
BA1_96_1_C10_nosplit,13.0,0.5316,0.5523,0.0207
BA1_96_1_C10_nosplit,15.0,0.5316,0.5607,0.0291
BA1_96_1_C10_nosplit,17.0,0.5316,0.54,0.0084
BA1_96_1_C10_nosplit,20.5,0.5316,0.5468,0.0152
BA1_96_1_C10_nosplit,24.0,0.5316,0.518,0.0136
BA1_96_1_C10_nosplit,28.0,0.5316,0.4777,0.0539
BA1_96_1_C10_nosplit,30.0,0.5316,0.2524,0.2792
BA1_96_1_F2_nosplit,3.0,0.6359,0.6424,0.0065
BA1_96_1_F2_nosplit,6.0,0.6359,0.6456,0.0096
BA1_96_1_F2_nosplit,8.0,0.6359,0.6509,0.015
BA1_96_1_F2_nosplit,10.0,0.6359,0.6509,0.0149
BA1_96_1_F2_nosplit,13.0,0.6359,0.6648,0.0289
BA1_96_1_F2_nosplit,15.0,0.6359,0.6704,0.0345
BA1_96_1_F2_nosplit,17.0,0.6359,0.645,0.0091
BA1_96_1_F2_nosplit,20.5,0.6359,0.6538,0.0178
BA1_96_1_F2_nosplit,24.0,0.6359,0.6323,0.0036
BA1_96_1_F2_nosplit,28.0,0.6359,0.6067,0.0293
BA1_96_1_F2_nosplit,30.0,0.6359,0.202,0.4339
BA1_96_1_F4_nosplit,3.0,0.6198,0.6224,0.0027
BA1_96_1_F4_nosplit,6.0,0.6198,0.6301,0.0103
BA1_96_1_F4_nosplit,8.0,0.6198,0.6312,0.0115
BA1_96_1_F4_nosplit,10.0,0.6198,0.6446,0.0249
BA1_96_1_F4_nosplit,13.0,0.6198,0.6547,0.0349
BA1_96_1_F4_nosplit,15.0,0.6198,0.6515,0.0318
BA1_96_1_F4_nosplit,17.0,0.6198,0.634,0.0142
BA1_96_1_F4_nosplit,20.5,0.6198,0.6401,0.0203
BA1_96_1_F4_nosplit,24.0,0.6198,0.6154,0.0044
BA1_96_1_F4_nosplit,28.0,0.6198,0.5714,0.0484
BA1_96_1_F4_nosplit,30.0,0.6198,0.2024,0.4173
BA1_96_1_G10_nosplit,3.0,0.4631,0.4787,0.0156
BA1_96_1_G10_nosplit,6.0,0.4631,0.4783,0.0152
BA1_96_1_G10_nosplit,8.0,0.4631,0.486,0.023
BA1_96_1_G10_nosplit,10.0,0.4631,0.4988,0.0357
BA1_96_1_G10_nosplit,13.0,0.4631,0.5071,0.044
BA1_96_1_G10_nosplit,15.0,0.4631,0.5018,0.0387
BA1_96_1_G10_nosplit,17.0,0.4631,0.4859,0.0228
BA1_96_1_G10_nosplit,20.5,0.4631,0.5058,0.0428
BA1_96_1_G10_nosplit,24.0,0.4631,0.4724,0.0093
BA1_96_1_G10_nosplit,28.0,0.4631,0.4584,0.0047
BA1_96_1_G10_nosplit,30.0,0.4631,0.2056,0.2574
BA1_96_1_G3_nosplit,3.0,0.5749,0.5831,0.0081
BA1_96_1_G3_nosplit,6.0,0.5749,0.5864,0.0115
BA1_96_1_G3_nosplit,8.0,0.5749,0.5932,0.0182
BA1_96_1_G3_nosplit,10.0,0.5749,0.5971,0.0221
BA1_96_1_G3_nosplit,13.0,0.5749,0.5974,0.0224
BA1_96_1_G3_nosplit,15.0,0.5749,0.6048,0.0298
BA1_96_1_G3_nosplit,17.0,0.5749,0.5915,0.0166
BA1_96_1_G3_nosplit,20.5,0.5749,0.5753,0.0004
BA1_96_1_G3_nosplit,24.0,0.5749,0.5746,0.0004
BA1_96_1_G3_nosplit,28.0,0.5749,0.5416,0.0334
BA1_96_1_G3_nosplit,30.0,0.5749,0.2338,0.3411
BA1_96_1_H10_nosplit,3.0,0.767,0.7698,0.0028
BA1_96_1_H10_nosplit,6.0,0.767,0.7749,0.0079
BA1_96_1_H10_nosplit,8.0,0.767,0.7735,0.0065
BA1_96_1_H10_nosplit,10.0,0.767,0.782,0.015
BA1_96_1_H10_nosplit,13.0,0.767,0.7833,0.0163
BA1_96_1_H10_nosplit,15.0,0.767,0.7924,0.0254
BA1_96_1_H10_nosplit,17.0,0.767,0.7818,0.0148
BA1_96_1_H10_nosplit,20.5,0.767,0.7807,0.0137
BA1_96_1_H10_nosplit,24.0,0.767,0.7627,0.0043
BA1_96_1_H10_nosplit,28.0,0.767,0.728,0.039
BA1_96_1_H10_nosplit,30.0,0.767,0.2322,0.5348
BA2_96_1_C10_nosplit,3.0,0.6683,0.6753,0.007
BA2_96_1_C10_nosplit,6.0,0.6683,0.6776,0.0093
