position,organoid_id,day,prob_full,prob_occluded,importance
0,BA1_96_1_B9_nosplit,3.0,0.4676,0.4719,0.0043
1,BA1_96_1_B9_nosplit,6.0,0.4676,0.4687,0.0011
2,BA1_96_1_B9_nosplit,8.0,0.4676,0.4794,0.0117
3,BA1_96_1_B9_nosplit,10.0,0.4676,0.4975,0.0298
4,BA1_96_1_B9_nosplit,13.0,0.4676,0.4964,0.0288
5,BA1_96_1_B9_nosplit,15.0,0.4676,0.4957,0.0281
6,BA1_96_1_B9_nosplit,17.0,0.4676,0.4822,0.0146
7,BA1_96_1_B9_nosplit,20.5,0.4676,0.4868,0.0192
8,BA1_96_1_B9_nosplit,24.0,0.4676,0.4522,0.0155
9,BA1_96_1_B9_nosplit,28.0,0.4676,0.4292,0.0385
10,BA1_96_1_B9_nosplit,30.0,0.4676,0.2123,0.2553
,BA1_96_1_B9_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.4676,0.5162,0.0486
0,BA1_96_1_C10_nosplit,3.0,0.5296,0.5385,0.009
1,BA1_96_1_C10_nosplit,6.0,0.5296,0.5392,0.0096
2,BA1_96_1_C10_nosplit,8.0,0.5296,0.5397,0.0101
3,BA1_96_1_C10_nosplit,10.0,0.5296,0.5522,0.0226
4,BA1_96_1_C10_nosplit,13.0,0.5296,0.5505,0.0209
5,BA1_96_1_C10_nosplit,15.0,0.5296,0.5587,0.0291
6,BA1_96_1_C10_nosplit,17.0,0.5296,0.5381,0.0085
7,BA1_96_1_C10_nosplit,20.5,0.5296,0.5449,0.0154
8,BA1_96_1_C10_nosplit,24.0,0.5296,0.5159,0.0137
9,BA1_96_1_C10_nosplit,28.0,0.5296,0.4756,0.054
10,BA1_96_1_C10_nosplit,30.0,0.5296,0.2527,0.2768
,BA1_96_1_C10_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.5296,0.5207,0.0089
0,BA1_96_1_F2_nosplit,3.0,0.6376,0.6441,0.0065
1,BA1_96_1_F2_nosplit,6.0,0.6376,0.6472,0.0096
2,BA1_96_1_F2_nosplit,8.0,0.6376,0.6525,0.0149
3,BA1_96_1_F2_nosplit,10.0,0.6376,0.6525,0.0149
4,BA1_96_1_F2_nosplit,13.0,0.6376,0.6663,0.0287
5,BA1_96_1_F2_nosplit,15.0,0.6376,0.672,0.0344
6,BA1_96_1_F2_nosplit,17.0,0.6376,0.6466,0.009
7,BA1_96_1_F2_nosplit,20.5,0.6376,0.6554,0.0179
8,BA1_96_1_F2_nosplit,24.0,0.6376,0.6339,0.0036
9,BA1_96_1_F2_nosplit,28.0,0.6376,0.6083,0.0293
10,BA1_96_1_F2_nosplit,30.0,0.6376,0.2024,0.4352
,BA1_96_1_F2_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.6376,0.6629,0.0253
0,BA1_96_1_F4_nosplit,3.0,0.6221,0.6248,0.0027
1,BA1_96_1_F4_nosplit,6.0,0.6221,0.6323,0.0103
2,BA1_96_1_F4_nosplit,8.0,0.6221,0.6336,0.0116
3,BA1_96_1_F4_nosplit,10.0,0.6221,0.6467,0.0246
4,BA1_96_1_F4_nosplit,13.0,0.6221,0.657,0.0349
