position,organoid_id,day,prob_full,prob_occluded,importance
0,BA1_96_1_B9_nosplit,30.0,0.0016,0.0016,0.0
1,BA1_96_1_B9_nosplit,28.0,0.0016,0.0016,0.0
2,BA1_96_1_B9_nosplit,24.0,0.0016,0.0016,0.0
3,BA1_96_1_B9_nosplit,20.5,0.0016,0.0017,0.0001
4,BA1_96_1_B9_nosplit,17.0,0.0016,0.0016,0.0
5,BA1_96_1_B9_nosplit,15.0,0.0016,0.0018,0.0002
6,BA1_96_1_B9_nosplit,13.0,0.0016,0.0019,0.0004
7,BA1_96_1_B9_nosplit,10.0,0.0016,0.0022,0.0006
8,BA1_96_1_B9_nosplit,8.0,0.0016,0.0022,0.0007
9,BA1_96_1_B9_nosplit,6.0,0.0016,0.0023,0.0007
10,BA1_96_1_B9_nosplit,3.0,0.0016,0.0908,0.0893
0,BA1_96_1_C10_nosplit,30.0,0.0027,0.0026,0.0001
1,BA1_96_1_C10_nosplit,28.0,0.0027,0.0026,0.0001
2,BA1_96_1_C10_nosplit,24.0,0.0027,0.0026,0.0
3,BA1_96_1_C10_nosplit,20.5,0.0027,0.0027,0.0001
4,BA1_96_1_C10_nosplit,17.0,0.0027,0.0026,0.0
5,BA1_96_1_C10_nosplit,15.0,0.0027,0.003,0.0004
6,BA1_96_1_C10_nosplit,13.0,0.0027,0.0032,0.0005
7,BA1_96_1_C10_nosplit,10.0,0.0027,0.0035,0.0008
8,BA1_96_1_C10_nosplit,8.0,0.0027,0.0037,0.001
9,BA1_96_1_C10_nosplit,6.0,0.0027,0.0049,0.0022
10,BA1_96_1_C10_nosplit,3.0,0.0027,0.0835,0.0808
0,BA1_96_1_F2_nosplit,30.0,0.0013,0.0013,0.0
1,BA1_96_1_F2_nosplit,28.0,0.0013,0.0013,0.0
2,BA1_96_1_F2_nosplit,24.0,0.0013,0.0013,0.0
3,BA1_96_1_F2_nosplit,20.5,0.0013,0.0014,0.0001
4,BA1_96_1_F2_nosplit,17.0,0.0013,0.0013,0.0
5,BA1_96_1_F2_nosplit,15.0,0.0013,0.0016,0.0003
6,BA1_96_1_F2_nosplit,13.0,0.0013,0.0017,0.0004
7,BA1_96_1_F2_nosplit,10.0,0.0013,0.0017,0.0004
8,BA1_96_1_F2_nosplit,8.0,0.0013,0.0019,0.0006
9,BA1_96_1_F2_nosplit,6.0,0.0013,0.0026,0.0013
10,BA1_96_1_F2_nosplit,3.0,0.0013,0.0767,0.0754
0,BA1_96_1_F4_nosplit,30.0,0.0028,0.0028,0.0001
1,BA1_96_1_F4_nosplit,28.0,0.0028,0.0028,0.0
2,BA1_96_1_F4_nosplit,24.0,0.0028,0.0028,0.0
3,BA1_96_1_F4_nosplit,20.5,0.0028,0.003,0.0002
4,BA1_96_1_F4_nosplit,17.0,0.0028,0.0031,0.0002
5,BA1_96_1_F4_nosplit,15.0,0.0028,0.0033,0.0005
6,BA1_96_1_F4_nosplit,13.0,0.0028,0.0038,0.001
7,BA1_96_1_F4_nosplit,10.0,0.0028,0.0039,0.0011
8,BA1_96_1_F4_nosplit,8.0,0.0028,0.0041,0.0012
9,BA1_96_1_F4_nosplit,6.0,0.0028,0.0059,0.0031
10,BA1_96_1_F4_nosplit,3.0,0.0028,0.0699,0.0671
0,BA1_96_1_G10_nosplit,30.0,0.0029,0.0029,0.0
1,BA1_96_1_G10_nosplit,28.0,0.0029,0.003,0.0001
2,BA1_96_1_G10_nosplit,24.0,0.0029,0.003,0.0001
3,BA1_96_1_G10_nosplit,20.5,0.0029,0.0031,0.0002
4,BA1_96_1_G10_nosplit,17.0,0.0029,0.0031,0.0002
5,BA1_96_1_G10_nosplit,15.0,0.0029,0.0034,0.0004
6,BA1_96_1_G10_nosplit,13.0,0.0029,0.0039,0.0009
7,BA1_96_1_G10_nosplit,10.0,0.0029,0.0042,0.0012
8,BA1_96_1_G10_nosplit,8.0,0.0029,0.0044,0.0015
9,BA1_96_1_G10_nosplit,6.0,0.0029,0.0058,0.0029
10,BA1_96_1_G10_nosplit,3.0,0.0029,0.07,0.067
0,BA1_96_1_G3_nosplit,30.0,0.0023,0.0023,0.0
1,BA1_96_1_G3_nosplit,28.0,0.0023,0.0023,0.0
2,BA1_96_1_G3_nosplit,24.0,0.0023,0.0024,0.0001
3,BA1_96_1_G3_nosplit,20.5,0.0023,0.0024,0.0
4,BA1_96_1_G3_nosplit,17.0,0.0023,0.0025,0.0002
5,BA1_96_1_G3_nosplit,15.0,0.0023,0.0027,0.0004
6,BA1_96_1_G3_nosplit,13.0,0.0023,0.0028,0.0005
7,BA1_96_1_G3_nosplit,10.0,0.0023,0.0032,0.0009
8,BA1_96_1_G3_nosplit,8.0,0.0023,0.0036,0.0012
9,BA1_96_1_G3_nosplit,6.0,0.0023,0.0042,0.0019
10,BA1_96_1_G3_nosplit,3.0,0.0023,0.083,0.0807
0,BA1_96_1_H10_nosplit,30.0,0.003,0.003,0.0001
1,BA1_96_1_H10_nosplit,28.0,0.003,0.003,0.0
2,BA1_96_1_H10_nosplit,24.0,0.003,0.0031,0.0
3,BA1_96_1_H10_nosplit,20.5,0.003,0.0033,0.0002
4,BA1_96_1_H10_nosplit,17.0,0.003,0.0033,0.0003
5,BA1_96_1_H10_nosplit,15.0,0.003,0.0037,0.0006
6,BA1_96_1_H10_nosplit,13.0,0.003,0.0039,0.0008
7,BA1_96_1_H10_nosplit,10.0,0.003,0.0042,0.0011
8,BA1_96_1_H10_nosplit,8.0,0.003,0.0046,0.0015
9,BA1_96_1_H10_nosplit,6.0,0.003,0.007,0.004
10,BA1_96_1_H10_nosplit,3.0,0.003,0.071,0.068
0,BA2_96_1_C10_nosplit,30.0,0.001,0.001,0.0
1,BA2_96_1_C10_nosplit,28.0,0.001,0.0009,0.0
2,BA2_96_1_C10_nosplit,24.0,0.001,0.0009,0.0
3,BA2_96_1_C10_nosplit,20.5,0.001,0.001,0.0
4,BA2_96_1_C10_nosplit,17.0,0.001,0.001,0.0001
5,BA2_96_1_C10_nosplit,15.0,0.001,0.0011,0.0002
6,BA2_96_1_C10_nosplit,13.0,0.001,0.0012,0.0002
7,BA2_96_1_C10_nosplit,10.0,0.001,0.0013,0.0003
8,BA2_96_1_C10_nosplit,8.0,0.001,0.0014,0.0004
9,BA2_96_1_C10_nosplit,6.0,0.001,0.002,0.001
10,BA2_96_1_C10_nosplit,3.0,0.001,0.0807,0.0798
0,BA2_96_1_C11_nosplit,30.0,0.0026,0.0025,0.0001
1,BA2_96_1_C11_nosplit,28.0,0.0026,0.0025,0.0001
2,BA2_96_1_C11_nosplit,24.0,0.0026,0.0025,0.0001
3,BA2_96_1_C11_nosplit,20.5,0.0026,0.0026,0.0
4,BA2_96_1_C11_nosplit,17.0,0.0026,0.0026,0.0001
5,BA2_96_1_C11_nosplit,15.0,0.0026,0.0027,0.0001
6,BA2_96_1_C11_nosplit,13.0,0.0026,0.0031,0.0005
7,BA2_96_1_C11_nosplit,10.0,0.0026,0.0034,0.0008
8,BA2_96_1_C11_nosplit,8.0,0.0026,0.0036,0.001
9,BA2_96_1_C11_nosplit,6.0,0.0026,0.0049,0.0024
10,BA2_96_1_C11_nosplit,3.0,0.0026,0.0866,0.084
0,BA2_96_1_C8_nosplit,30.0,0.0009,0.0009,0.0
1,BA2_96_1_C8_nosplit,28.0,0.0009,0.0009,0.0
2,BA2_96_1_C8_nosplit,24.0,0.0009,0.0009,0.0
3,BA2_96_1_C8_nosplit,20.5,0.0009,0.0009,0.0
4,BA2_96_1_C8_nosplit,17.0,0.0009,0.001,0.0001
5,BA2_96_1_C8_nosplit,15.0,0.0009,0.001,0.0001
6,BA2_96_1_C8_nosplit,13.0,0.0009,0.0012,0.0003
7,BA2_96_1_C8_nosplit,10.0,0.0009,0.0013,0.0004
8,BA2_96_1_C8_nosplit,8.0,0.0009,0.0015,0.0006
9,BA2_96_1_C8_nosplit,6.0,0.0009,0.0023,0.0014
10,BA2_96_1_C8_nosplit,3.0,0.0009,0.0703,0.0693
0,BA2_96_1_D9_nosplit,30.0,0.0013,0.0012,0.0
1,BA2_96_1_D9_nosplit,28.0,0.0013,0.0013,0.0
2,BA2_96_1_D9_nosplit,24.0,0.0013,0.0013,0.0
3,BA2_96_1_D9_nosplit,20.5,0.0013,0.0013,0.0
4,BA2_96_1_D9_nosplit,17.0,0.0013,0.0014,0.0001
5,BA2_96_1_D9_nosplit,15.0,0.0013,0.0014,0.0001
