position,organoid_id,day,prob_full,prob_occluded,importance
0,BA1_96_1_B9_nosplit,3.0,0.3768,0.2997,0.0771
1,BA1_96_1_B9_nosplit,6.0,0.3768,0.2878,0.089
2,BA1_96_1_B9_nosplit,8.0,0.3768,0.3923,0.0155
3,BA1_96_1_B9_nosplit,10.0,0.3768,0.3882,0.0115
4,BA1_96_1_B9_nosplit,13.0,0.3768,0.3591,0.0176
5,BA1_96_1_B9_nosplit,15.0,0.3768,0.3656,0.0112
6,BA1_96_1_B9_nosplit,17.0,0.3768,0.335,0.0418
7,BA1_96_1_B9_nosplit,20.5,0.3768,0.3422,0.0345
8,BA1_96_1_B9_nosplit,24.0,0.3768,0.2924,0.0843
9,BA1_96_1_B9_nosplit,28.0,0.3768,0.2832,0.0936
10,BA1_96_1_B9_nosplit,30.0,0.3768,0.2761,0.1007
0,BA1_96_1_C10_nosplit,3.0,0.4834,0.4097,0.0737
1,BA1_96_1_C10_nosplit,6.0,0.4834,0.4265,0.0569
2,BA1_96_1_C10_nosplit,8.0,0.4834,0.4783,0.0051
3,BA1_96_1_C10_nosplit,10.0,0.4834,0.4938,0.0104
4,BA1_96_1_C10_nosplit,13.0,0.4834,0.4692,0.0142
5,BA1_96_1_C10_nosplit,15.0,0.4834,0.4375,0.0459
6,BA1_96_1_C10_nosplit,17.0,0.4834,0.3734,0.11
7,BA1_96_1_C10_nosplit,20.5,0.4834,0.3676,0.1158
8,BA1_96_1_C10_nosplit,24.0,0.4834,0.3766,0.1068
9,BA1_96_1_C10_nosplit,28.0,0.4834,0.3157,0.1677
10,BA1_96_1_C10_nosplit,30.0,0.4834,0.3934,0.09
0,BA1_96_1_F2_nosplit,3.0,0.3333,0.2851,0.0482
1,BA1_96_1_F2_nosplit,6.0,0.3333,0.3122,0.0211
2,BA1_96_1_F2_nosplit,8.0,0.3333,0.3569,0.0235
3,BA1_96_1_F2_nosplit,10.0,0.3333,0.3427,0.0094
4,BA1_96_1_F2_nosplit,13.0,0.3333,0.3506,0.0172
5,BA1_96_1_F2_nosplit,15.0,0.3333,0.3168,0.0166
6,BA1_96_1_F2_nosplit,17.0,0.3333,0.3056,0.0277
7,BA1_96_1_F2_nosplit,20.5,0.3333,0.2244,0.1089
8,BA1_96_1_F2_nosplit,24.0,0.3333,0.2303,0.103
9,BA1_96_1_F2_nosplit,28.0,0.3333,0.3096,0.0238
10,BA1_96_1_F2_nosplit,30.0,0.3333,0.2586,0.0748
0,BA1_96_1_F4_nosplit,3.0,0.3512,0.3021,0.0491
1,BA1_96_1_F4_nosplit,6.0,0.3512,0.3216,0.0296
2,BA1_96_1_F4_nosplit,8.0,0.3512,0.3376,0.0136
3,BA1_96_1_F4_nosplit,10.0,0.3512,0.3763,0.025
4,BA1_96_1_F4_nosplit,13.0,0.3512,0.4094,0.0582
5,BA1_96_1_F4_nosplit,15.0,0.3512,0.3937,0.0425
6,BA1_96_1_F4_nosplit,17.0,0.3512,0.2955,0.0557
7,BA1_96_1_F4_nosplit,20.5,0.3512,0.2731,0.0781
8,BA1_96_1_F4_nosplit,24.0,0.3512,0.2349,0.1163
9,BA1_96_1_F4_nosplit,28.0,0.3512,0.2746,0.0767
10,BA1_96_1_F4_nosplit,30.0,0.3512,0.2237,0.1276
0,BA1_96_1_G10_nosplit,3.0,0.2342,0.1949,0.0393
1,BA1_96_1_G10_nosplit,6.0,0.2342,0.212,0.0222
2,BA1_96_1_G10_nosplit,8.0,0.2342,0.2275,0.0067
3,BA1_96_1_G10_nosplit,10.0,0.2342,0.2511,0.0169
4,BA1_96_1_G10_nosplit,13.0,0.2342,0.2519,0.0177
5,BA1_96_1_G10_nosplit,15.0,0.2342,0.2411,0.007
6,BA1_96_1_G10_nosplit,17.0,0.2342,0.1847,0.0495
7,BA1_96_1_G10_nosplit,20.5,0.2342,0.1895,0.0447
8,BA1_96_1_G10_nosplit,24.0,0.2342,0.1463,0.0879
9,BA1_96_1_G10_nosplit,28.0,0.2342,0.1589,0.0753
10,BA1_96_1_G10_nosplit,30.0,0.2342,0.1577,0.0765
0,BA1_96_1_G3_nosplit,3.0,0.3018,0.2433,0.0585
1,BA1_96_1_G3_nosplit,6.0,0.3018,0.2681,0.0337
2,BA1_96_1_G3_nosplit,8.0,0.3018,0.3351,0.0333
3,BA1_96_1_G3_nosplit,10.0,0.3018,0.321,0.0192
4,BA1_96_1_G3_nosplit,13.0,0.3018,0.2958,0.006
5,BA1_96_1_G3_nosplit,15.0,0.3018,0.2792,0.0226
6,BA1_96_1_G3_nosplit,17.0,0.3018,0.2615,0.0403
7,BA1_96_1_G3_nosplit,20.5,0.3018,0.2482,0.0536
8,BA1_96_1_G3_nosplit,24.0,0.3018,0.222,0.0798
9,BA1_96_1_G3_nosplit,28.0,0.3018,0.2242,0.0776
10,BA1_96_1_G3_nosplit,30.0,0.3018,0.211,0.0908
0,BA1_96_1_H10_nosplit,3.0,0.3662,0.299,0.0672
1,BA1_96_1_H10_nosplit,6.0,0.3662,0.3279,0.0383
2,BA1_96_1_H10_nosplit,8.0,0.3662,0.3709,0.0048
3,BA1_96_1_H10_nosplit,10.0,0.3662,0.3754,0.0092
4,BA1_96_1_H10_nosplit,13.0,0.3662,0.3917,0.0255
5,BA1_96_1_H10_nosplit,15.0,0.3662,0.3612,0.005
6,BA1_96_1_H10_nosplit,17.0,0.3662,0.3592,0.0069
7,BA1_96_1_H10_nosplit,20.5,0.3662,0.3473,0.0189
8,BA1_96_1_H10_nosplit,24.0,0.3662,0.2373,0.1289
9,BA1_96_1_H10_nosplit,28.0,0.3662,0.261,0.1051
10,BA1_96_1_H10_nosplit,30.0,0.3662,0.2273,0.1389
0,BA2_96_1_C10_nosplit,3.0,0.5534,0.5055,0.0479
1,BA2_96_1_C10_nosplit,6.0,0.5534,0.5378,0.0156
2,BA2_96_1_C10_nosplit,8.0,0.5534,0.5489,0.0045
3,BA2_96_1_C10_nosplit,10.0,0.5534,0.548,0.0054
4,BA2_96_1_C10_nosplit,13.0,0.5534,0.5357,0.0177
5,BA2_96_1_C10_nosplit,15.0,0.5534,0.5199,0.0335
6,BA2_96_1_C10_nosplit,17.0,0.5534,0.5023,0.0511
7,BA2_96_1_C10_nosplit,20.5,0.5534,0.4072,0.1462
8,BA2_96_1_C10_nosplit,24.0,0.5534,0.3695,0.1839
9,BA2_96_1_C10_nosplit,28.0,0.5534,0.3191,0.2343
10,BA2_96_1_C10_nosplit,30.0,0.5534,0.4534,0.1001
0,BA2_96_1_C11_nosplit,3.0,0.6395,0.6092,0.0303
1,BA2_96_1_C11_nosplit,6.0,0.6395,0.6385,0.001
2,BA2_96_1_C11_nosplit,8.0,0.6395,0.6254,0.0141
3,BA2_96_1_C11_nosplit,10.0,0.6395,0.6238,0.0157
4,BA2_96_1_C11_nosplit,13.0,0.6395,0.6261,0.0134
5,BA2_96_1_C11_nosplit,15.0,0.6395,0.632,0.0075
6,BA2_96_1_C11_nosplit,17.0,0.6395,0.577,0.0624
7,BA2_96_1_C11_nosplit,20.5,0.6395,0.5146,0.1249
8,BA2_96_1_C11_nosplit,24.0,0.6395,0.5015,0.138
9,BA2_96_1_C11_nosplit,28.0,0.6395,0.4492,0.1902
10,BA2_96_1_C11_nosplit,30.0,0.6395,0.4555,0.184
